SNR,Accuracy
-20.0,0.09017132551848513
-18.0,0.08403361344537816
-16.0,0.09799346710219319
-14.0,0.10176390773405698
-12.0,0.10683951721054985
-10.0,0.13983440662373506
-8.0,0.2200825309491059
-6.0,0.2969374167776298
-4.0,0.38941229250785103
-2.0,0.4731638418079096
0.0,0.5995271867612293
2.0,0.6809403862300588
4.0,0.7510528778661675
6.0,0.7742673992673993
8.0,0.7705747126436782
10.0,0.803352967829633
12.0,0.8076031525266574
14.0,0.7915543575920935
16.0,0.7888198757763976
18.0,0.7827632163482896
